Cycle,Instr,Op,Fct3,Rd,Rs1,Rs2,RegWrite,ALUSrc,FwdA,FwdB,MemRd,MemWr,WBSel,bne
0,,,,,,,False,False,,,False,False,alu,False
1,,,,,,,False,False,,,False,False,alu,False
2,1076920627,sub,0,2,1,3,True,False,,,False,False,alu,False
3,5338675,and,7,12,2,5,True,False,EX/MEM,,False,False,alu,False
4,2320051,or,6,13,6,2,True,False,,MEM/WB,False,False,alu,False
5,14053683,and,7,2,12,13,True,False,MEM/WB,EX/MEM,False,False,alu,False
6,2164531,add,0,14,2,2,True,False,EX/MEM,EX/MEM,False,False,alu,False
7,,,,,,,False,False,,,False,False,alu,False
8,,,,,,,False,False,,,False,False,alu,False
