elements,threads,run,median
10,8,0.0048923492431640625,
10,8,0.00016379356384277344,
10,8,0.00015044212341308594,
10,8,,0.00016379356384277344
50,8,0.000286102294921875,
50,8,0.0001933574676513672,
50,8,0.00018286705017089844,
50,8,,0.0001933574676513672
100,8,0.00036072731018066406,
100,8,0.0002124309539794922,
100,8,0.0001513957977294922,
100,8,,0.0002124309539794922
250,8,0.0009255409240722656,
250,8,0.0007884502410888672,
250,8,0.0006539821624755859,
250,8,,0.0007884502410888672
500,8,0.003988504409790039,
500,8,0.0031843185424804688,
500,8,0.002942800521850586,
500,8,,0.0031843185424804688
750,8,0.010263919830322266,
750,8,0.009669303894042969,
750,8,0.009154319763183594,
750,8,,0.009669303894042969
1000,8,0.017038822174072266,
1000,8,0.016863346099853516,
1000,8,0.015202045440673828,
1000,8,,0.016863346099853516
2500,8,0.23160529136657715,
2500,8,0.2304859161376953,
2500,8,0.22962331771850586,
2500,8,,0.2304859161376953
5000,8,1.4539437294006348,
5000,8,1.4515337944030762,
5000,8,2.0691871643066406,
5000,8,,1.4539437294006348
7500,8,4.230546712875366,
7500,8,4.106752634048462,
7500,8,4.108481407165527,
7500,8,,4.108481407165527
10000,8,3.5428953170776367,
10000,8,3.3945024013519287,
10000,8,3.3779101371765137,
10000,8,,3.3945024013519287
