elements,threads,run,median
10,2,0.0037689208984375,
10,2,0.00011372566223144531,
10,2,7.224082946777344e-05,
10,2,,0.00011372566223144531
50,2,0.0001373291015625,
50,2,9.751319885253906e-05,
50,2,8.940696716308594e-05,
50,2,,9.751319885253906e-05
100,2,0.00022482872009277344,
100,2,0.0002353191375732422,
100,2,0.0001971721649169922,
100,2,,0.00022482872009277344
250,2,0.0009570121765136719,
250,2,0.0007522106170654297,
250,2,0.0006284713745117188,
250,2,,0.0007522106170654297
500,2,0.003912448883056641,
500,2,0.0033843517303466797,
500,2,0.0029234886169433594,
500,2,,0.0033843517303466797
750,2,0.011295080184936523,
750,2,0.010146856307983398,
750,2,0.009647130966186523,
750,2,,0.010146856307983398
1000,2,0.01681828498840332,
1000,2,0.016222476959228516,
1000,2,0.015572071075439453,
1000,2,,0.016222476959228516
2500,2,0.2318401336669922,
2500,2,0.23049306869506836,
2500,2,0.23242807388305664,
2500,2,,0.2318401336669922
5000,2,1.4665565490722656,
5000,2,1.4529228210449219,
5000,2,2.0924813747406006,
5000,2,,1.4665565490722656
7500,2,4.2258429527282715,
7500,2,4.112647294998169,
7500,2,4.1271278858184814,
7500,2,,4.1271278858184814
10000,2,5.984573841094971,
10000,2,5.795858860015869,
10000,2,5.780892848968506,
10000,2,,5.795858860015869
