elements,threads,run,median
10,4,0.003640413284301758,
10,4,0.00011396408081054688,
10,4,9.226799011230469e-05,
10,4,,0.00011396408081054688
50,4,0.00014257431030273438,
50,4,0.0001010894775390625,
50,4,9.1552734375e-05,
50,4,,0.0001010894775390625
100,4,0.00021719932556152344,
100,4,0.0001544952392578125,
100,4,0.00014495849609375,
100,4,,0.0001544952392578125
250,4,0.0009746551513671875,
250,4,0.0007886886596679688,
250,4,0.0006663799285888672,
250,4,,0.0007886886596679688
500,4,0.003966569900512695,
500,4,0.003329038619995117,
500,4,0.0028772354125976562,
500,4,,0.003329038619995117
750,4,0.0112457275390625,
750,4,0.010188579559326172,
750,4,0.009682178497314453,
750,4,,0.010188579559326172
1000,4,0.01676321029663086,
1000,4,0.016510725021362305,
1000,4,0.0157773494720459,
1000,4,,0.016510725021362305
2500,4,0.2344801425933838,
2500,4,0.23345136642456055,
2500,4,0.2303752899169922,
2500,4,,0.23345136642456055
5000,4,2.109525680541992,
5000,4,1.4594755172729492,
5000,4,1.458301305770874,
5000,4,,1.4594755172729492
7500,4,4.249187231063843,
7500,4,4.150521755218506,
7500,4,4.148061275482178,
7500,4,,4.150521755218506
10000,4,3.9798731803894043,
10000,4,3.8278961181640625,
10000,4,3.837752103805542,
10000,4,,3.837752103805542
