elements,threads,run,median
10,16,0.006937503814697266,
10,16,0.00017380714416503906,
10,16,0.00015807151794433594,
10,16,,0.00017380714416503906
50,16,0.00032067298889160156,
50,16,0.00020360946655273438,
50,16,0.00019431114196777344,
50,16,,0.00020360946655273438
100,16,0.000507354736328125,
100,16,0.00030803680419921875,
100,16,0.00028514862060546875,
100,16,,0.00030803680419921875
250,16,0.0022430419921875,
250,16,0.0018281936645507812,
250,16,0.001556396484375,
250,16,,0.0018281936645507812
500,16,0.011046409606933594,
500,16,0.009543895721435547,
500,16,0.004018306732177734,
500,16,,0.009543895721435547
750,16,0.010244131088256836,
750,16,0.009529829025268555,
750,16,0.009196281433105469,
750,16,,0.009529829025268555
1000,16,0.0163571834564209,
1000,16,0.01616358757019043,
1000,16,0.01589679718017578,
1000,16,,0.01616358757019043
2500,16,0.23282766342163086,
2500,16,0.23206520080566406,
2500,16,0.23091506958007812,
2500,16,,0.23206520080566406
5000,16,1.4492852687835693,
5000,16,1.4531795978546143,
5000,16,1.4573838710784912,
5000,16,,1.4531795978546143
7500,16,4.822912931442261,
7500,16,4.0975213050842285,
7500,16,4.085988521575928,
7500,16,,4.0975213050842285
10000,16,3.429551839828491,
10000,16,3.240297794342041,
10000,16,3.2850592136383057,
10000,16,,3.2850592136383057
